appid,name,developer,publisher,score_rank,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,currency,final,categories 1,categories 2,positive_ratio,ratings,owners_average,MutualPlayerCount
1292910,Accident: The Pilot,"Duality Games, Glob Games Studio","Duality Games, PlayWay S.A.",,530,237,"100,000 .. 200,000",54,0,68,0,2,"Indie, Simulation",,0,Single-player,,0.691003911,0.776559083,150000,6
1305720,Delores: A Thimbleweed Park Mini-Adventure,Terrible Toybox,Terrible Toybox,,511,67,"100,000 .. 200,000",6,0,1,0,1,"Adventure, Indie",,0,Single-player, Steam Cloud,0.884083045,0.780819397,150000,6
1383550,Soul Dossier ,（Hong Kong）GKD Game Studio,鸽屋咕游戏,,832,583,"200,000 .. 500,000",272,0,286,0,0,"Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG, Strategy, Early Access",,0,Multi-player, PvP,0.587985866,0.770032146,350000,3
1390480,Never BreakUp Beta,ISVR,ISVR,,132,54,"50,000 .. 100,000",0,0,0,0,0,"Action, Adventure, Casual, Free to Play, Indie",,0,Single-player, Multi-player,0.709677419,0.778355814,75000,3
1390700,The Crackpet Show,Vixa Games,"Ravenage Games, Ripples Asia Venture",,578,67,"0 .. 20,000",0,0,0,0,8,"Action, Adventure, Indie",USD,8.49,Single-player, Multi-player,0.896124031,0.781307961,10000,4
1460800,Super Dungeon Maker - Fink's Awakening,,,,0,0,"0 .. 20,000",0,0,0,0,0,,,0,Single-player, Partial Controller Support,,0.778790122,10000,5
1484550,Bossa Presents,,,,0,0,"0 .. 20,000",0,0,0,0,0,,,0,Single-player, Multi-player,,0.778790122,10000,4
1437820,Heroes of the Three Kingdoms,"USERJOY Technology Co.,Ltd.","USERJOY Technology Co.,Ltd.",,1055,88,"200,000 .. 500,000",1246,0,2216,0,107,"Action, RPG, Simulation, Strategy",USD,0.99,Single-player, Family Sharing,0.923009624,0.78418496,350000,9
1661260,Animal Shelter: Prologue,,,,0,0,"0 .. 20,000",113,0,127,0,0,,,0,Single-player,,,0.778790122,10000,6
1702320,PIGGY: Hunt,Shaggy Doge,Shaggy Doge,,1106,425,"50,000 .. 100,000",0,0,0,0,3,"Action, Adventure, Casual, Free to Play, Indie, Massively Multiplayer, Strategy, Early Access",,0,Multi-player, PvP,0.722403658,0.776000289,75000,5
449090,Zombie Parking,XPAGAME,XPAGAME,,71,27,"20,000 .. 50,000",45,0,45,0,0,"Action, Indie",USD,0.99,Single-player, Steam Achievements,0.724489796,0.7786098,35000,16
477770,Ride 2,Milestone S.r.l.,Milestone S.r.l.,,2533,377,"200,000 .. 500,000",980,0,1092,0,17,"Racing, Simulation, Sports",USD,24.99,Single-player, Multi-player,0.870446735,0.787041939,350000,35
489380,QuiVr,Blueteak,"Alvios, Inc.",,452,53,"50,000 .. 100,000",0,0,0,0,0,"Action, Casual, Indie, Simulation",USD,19.99,Single-player, Multi-player,0.895049505,0.780752541,75000,0
2346550,Rise of Eros,,,,0,0,"0 .. 20,000",39,0,40,0,0,,,0,Multi-player, Cross-Platform Multiplayer,,0.778790122,10000,9
963000,Frog Detective 1: The Haunted Island,"Grace Bruxner, Thomas Bowker","worm club, SUPERHOT PRESENTS",,3985,317,"100,000 .. 200,000",264,0,460,0,2,"Adventure, Casual, Indie",USD,4.99,Single-player, Steam Achievements,0.926313343,0.797614121,150000,5
485380,Welcome to the Game,Reflect Studios,Reflect Studios,,1998,355,"100,000 .. 200,000",224,0,98,0,7,"Indie, Simulation",USD,4.99,Single-player, Family Sharing,0.849128772,0.784000365,150000,6
2440510,Forza Motorsport,Turn 10,Xbox Game Studios,,2465,3626,"200,000 .. 500,000",1993,0,1993,0,553,Racing,USD,69.99,Single-player, Multi-player,0.404695452,0.714610543,350000,16
619780,The Swords of Ditto: Mormo's Curse,onebitbeyond,Devolver Digital,,1404,836,"200,000 .. 500,000",307,0,420,0,4,"Action, Adventure, Indie, RPG",USD,14.99,Single-player, Multi-player,0.626785714,0.768033056,350000,10
1694600,THE HOUSE OF THE DEAD: Remake,MegaPixel Studio S. A.,Forever Entertainment S. A.,,1299,593,"100,000 .. 200,000",49,0,63,0,6,Action,USD,24.99,Single-player, Multi-player,0.686575053,0.773216804,150000,8
1112400,Project Torque - Free 2 Play MMO Racing Game,"Invictus Games Ltd., JOGARA LTD",JOGARA LTD,,1306,482,"500,000 .. 1,000,000",27,0,25,0,28,"Free to Play, Massively Multiplayer, Racing",,0,Single-player, Multi-player,0.730425056,0.776018492,750000,4
502800,SENRAN KAGURA ESTIVAL VERSUS,Tamsoft,"XSEED Games, Marvelous USA, Inc., Marvelous",,4841,279,"200,000 .. 500,000",605,0,251,0,31,Action,USD,29.99,Single-player, Multi-player,0.945507813,0.803508587,350000,26
448750,Infinity Saga,ArcticFox223,ArcticFox223,,20,9,"20,000 .. 50,000",0,0,0,0,0,"Action, Adventure, Casual, Indie, RPG, Strategy",USD,2.99,Single-player, Steam Trading Cards,0.689655172,0.778702325,35000,6
464940,Sketchfab VR,Sketchfab,Sketchfab,,40,17,"0 .. 20,000",5,0,10,0,0,Adventure,,0,Single-player, Tracked Controller Support,0.701754386,0.778641121,10000,4
485260,Talent Not Included,Frima Studio,Frima Originals,,35,5,"0 .. 20,000",0,0,0,0,0,"Action, Indie",USD,12.99,Single-player, Multi-player,0.875,0.778920786,10000,9
783120,淑女同萌！,AKATSUKI-WORKS,HIKARI FIELD,,771,36,"20,000 .. 50,000",0,0,0,0,4,Adventure,USD,29.99,Single-player, Steam Trading Cards,0.955390335,0.783506136,35000,14
882940,The Moment We Met,萌约游戏制作组,萌约游戏制作组,,153,97,"50,000 .. 100,000",1,0,1,0,0,"Adventure, RPG, Simulation",USD,1.99,Single-player, Family Sharing,0.612,0.777384398,75000,5
990050,Death end re;Quest,"Idea Factory, Compile Heart",Idea Factory International,,971,277,"50,000 .. 100,000",734,0,815,0,7,"Action, Adventure, RPG",USD,29.99,Single-player, Steam Achievements,0.778044872,0.778759788,75000,26
1454890,Titanfall­,Respawn Entertainment,Electronic Arts,,744,1167,"100,000 .. 200,000",1,0,1,0,1,Action,,0,Multi-player, PvP,0.389324961,0.755029563,150000,5
704190,Bitcoin Collector,Blender Games,Blender Games,,87,65,"0 .. 20,000",3,0,3,0,0,"Action, Adventure, Casual, Indie",USD,1.99,Single-player, Steam Achievements,0.572368421,0.777728852,10000,14
715310,Urban Rivals,Acute Games,Acute Games,,359,202,"100,000 .. 200,000",4,0,4,0,18,"Action, Indie, Massively Multiplayer, RPG, Strategy, Free to Play",,0,Single-player, Multi-player,0.639928699,0.776191133,150000,11
719640,War Planet Online: Global Conquest,Gameloft,Gameloft,,520,298,"200,000 .. 500,000",30,0,45,0,297,"Massively Multiplayer, Strategy, Free to Play",,0,Multi-player, MMO,0.635696822,0.774918216,350000,12
726390,Scream Collector,PuzzleRoo,PuzzleRoo,,618,91,"100,000 .. 200,000",152,0,188,0,18,"Casual, Free to Play",,0,Single-player, Steam Achievements,0.871650212,0.780975851,150000,15
727540,ReX,Ali Asfand,SA Industry,,88,16,"0 .. 20,000",252,0,252,0,0,"Action, Adventure, Casual, Indie",USD,13.99,Single-player, Steam Achievements,0.846153846,0.779027474,10000,4
741450,Immortal Heroes,azimuth team,azimuth team,,34,71,"20,000 .. 50,000",1,0,1,0,0,"Adventure, Casual, Indie",USD,0.99,Single-player, Steam Achievements,0.323809524,0.777171669,35000,9
745710,SMACKHEAD,,Displacement Studios,,33,55,"0 .. 20,000",1,0,1,0,0,"Action, Casual, Indie, Simulation",USD,0.99,Single-player, Steam Achievements,0.375,0.777585623,10000,3
749340,Chocolate makes you happy,Blender Games,Blender Games,,118,38,"0 .. 20,000",0,0,0,0,0,"Casual, Indie",USD,1.99,Single-player, Steam Achievements,0.756410256,0.77867205,10000,8
758980,Poker Legends: Texas Hold'em Poker Tournaments,DYNAMICNEXT,DYNAMICNEXT,,495,150,"100,000 .. 200,000",52,0,102,0,28,"Casual, Free to Play, Indie, Massively Multiplayer, Simulation",,0,Single-player, Multi-player,0.76744186,0.778546603,150000,10
778410,Dead Ground,Shotx,Shotx,,66,44,"0 .. 20,000",1,0,1,0,0,"Action, Indie, RPG, Strategy",USD,0.69,Single-player, Steam Achievements,0.6,0.778123959,10000,9
779360,Instant Death,Tayfun Zeytun,My Way Games,,56,20,"0 .. 20,000",0,0,0,0,0,"Action, Casual, Indie",USD,29.99,Single-player, Steam Achievements,0.736842105,0.778682012,10000,2
786670,Loot Box Simulator 20!8,"Nikita ""Ghost_RUS""",Ghost_RUS Games,,28,60,"0 .. 20,000",0,0,0,0,0,"Casual, Indie, Simulation",USD,0.49,Single-player, Steam Achievements,0.318181818,0.777416136,10000,6
793150,Moe! Ninja Girls,NTT Solmare,NTT Solmare,,222,74,"20,000 .. 50,000",338,0,338,0,7,"Free to Play, Simulation",,0,Single-player, Multi-player,0.75,0.778503274,35000,5
797390,How To Cope With Boredom and Loneliness,Point Bleep Studios,Baffled Crab,,504,47,"50,000 .. 100,000",15,0,15,0,0,"Adventure, Free to Play, Indie",,0,Single-player, Steam Achievements,0.914700544,0.78128937,75000,9
821670,Horse Farm,"Independent Arts Software, upjers",upjers,,153,122,"50,000 .. 100,000",0,0,0,0,11,"Casual, Free to Play, Simulation",,0,Single-player, Multi-player,0.556363636,0.776729763,75000,6
834180,#CuteSnake 2,Sunrise9,Sunrise9,,51,17,"0 .. 20,000",0,0,0,0,0,"Casual, Indie, Simulation",USD,0.99,Single-player, Steam Achievements,0.75,0.778723715,10000,14
